Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",4,4.16,Crown Publishing Group (NY),Hardcover,336,2019,2019,2020/08/08,2019/12/11,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",3,4.38,Avery,Kindle Edition,319,2018,2018,2020/07/20,2019/12/28,,,read,,,,1,0
23995360,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,"Tetlock, Philip E.",Dan Gardner,"=""0804136696""","=""9780804136693""",3,4.08,Crown,Hardcover,352,2015,2015,2020/07/17,2019/11/04,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",4,4.21,Crown Publishing Group (NY),Paperback,544,2004,2003,2020/07/04,2019/11/04,,,read,,,,1,0
40406806,Coders: The Making of a New Tribe and the Remaking of the World,Clive Thompson,"Thompson, Clive",,"=""0735220565""","=""9780735220560""",4,4.00,Penguin Press,Hardcover,448,2019,2019,2020/05/11,2020/02/05,,,read,,,,1,0
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",3,3.89,Crown,Hardcover,259,2016,2016,2020/04/06,2020/02/16,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",4,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,2020/03/06,2019/06/30,,,read,,,,1,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,"Sharma, Robin S.",,"=""0062515675""","=""9780062515674""",3,3.88,HarperOne,Paperback,208,1999,1996,2020/02/15,2020/02/05,,,read,,,,1,0
48757,The Tao of Pooh,Benjamin Hoff,"Hoff, Benjamin",Ernest H. Shepard,"=""1405204265""","=""9781405204262""",3,4.00,Egmont Books,Paperback,176,2003,1982,2020/02/04,2019/11/28,,,read,,,,1,0
45995328,De meeste mensen deugen: een nieuwe geschiedenis van de mens,Rutger Bregman,"Bregman, Rutger",,"=""9082942186""","=""9789082942187""",4,4.33,De Correspondent,Paperback,523,2019,2019,2020/01/26,2019/11/04,,,read,,,,1,0
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",0,4.27,Scribe,Paperback,936,2004,2003,,2020/01/17,to-read,to-read (#1),to-read,,,,0,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",4,4.37,Beacon Press,Paperback,165,2006,1946,2020/01/13,2019/11/04,,,read,,,,1,0
40108964,Weg ermee,Dennis Storm,"Storm, Dennis",,"=""9000347483""","=""9789000347483""",3,3.71,Spectrum,Paperback,112,2018,2018,,2019/02/23,,,read,,,,1,0
29610119,"The Memory Illusion: Remembering, Forgetting, and the Science of False Memory",Julia  Shaw,"Shaw, Julia",,"=""""","=""""",3,3.94,Cornerstone Digital,Kindle Edition,304,2016,2016,2019/12/30,2019/11/04,,,read,,,,1,0
36762542,Outnumbered: Exploring the Algorithms That Control Our Lives,David Sumpter,"Sumpter, David",,"=""147294741X""","=""9781472947413""",4,3.93,Bloomsbury SIGMA,Hardcover,288,2018,2018,2019/12/20,2019/11/04,,,read,,,,1,0
